设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['正方元锦江国际饭店-河南工业大学', '正方元锦江国际饭店', '河南工业大学', '34.76551,113.75021', '34.83330,113.55796', '状态201 break break', 'na na']
设备序列号 起点 终点 状态码  路程(米) 耗时(秒)
['汇艺万怡酒店-郑州大学', '汇艺万怡酒店', '郑州大学', '34.76031,113.77730', '34.81414,113.54220', ('状态0', '27131', '2528'), 'na na']
['汇艺万怡酒店-郑州工程技术学院', '汇艺万怡酒店', '郑州工程技术学院', '34.76031,113.77730', '34.86633,113.65609', ('状态0', '22298', '2399'), 'na na']
['汇艺万怡酒店-郑州师范学院', '汇艺万怡酒店', '郑州师范学院', '34.76031,113.77730', '34.86471,113.62637', ('状态0', '24689', '2680'), 'na na']
['汇艺万怡酒店-郑州市体育馆', '汇艺万怡酒店', '郑州市体育馆', '34.76031,113.77730', '34.76295,113.67994', ('状态0', '11500', '1636'), 'na na']
['汇艺万怡酒店-郑州市体育场', '汇艺万怡酒店', '郑州市体育场', '34.76031,113.77730', '34.76295,113.67994', ('状态0', '11500', '1636'), 'na na']
['汇艺万怡酒店-华北水利水电大学', '汇艺万怡酒店', '华北水利水电大学', '34.76031,113.77730', '34.77593,113.76580', ('状态0', '2708', '482'), 'na na']
['汇艺万怡酒店-北龙湖', '汇艺万怡酒店', '北龙湖', '34.76031,113.77730', '34.81829,113.74043', ('状态0', '9739', '1401'), 'na na']
['汇艺万怡酒店-郑州奥体中心体育馆', '汇艺万怡酒店', '郑州奥体中心体育馆', '34.76031,113.77730', '34.73476,113.54065', ('状态0', '27196', '2075'), 'na na']
['五洲大酒店-河南工业大学', '五洲大酒店', '河南工业大学', '34.80343,113.64716', '34.83330,113.55796', ('状态0', '11597', '1642'), 'na na']
['五洲大酒店-郑州大学', '五洲大酒店', '郑州大学', '34.80343,113.64716', '34.81414,113.54220', ('状态0', '11764', '1662'), 'na na']
['五洲大酒店-郑州工程技术学院', '五洲大酒店', '郑州工程技术学院', '34.80343,113.64716', '34.86633,113.65609', ('状态0', '11471', '1756'), 'na na']
['五洲大酒店-郑州师范学院', '五洲大酒店', '郑州师范学院', '34.80343,113.64716', '34.86471,113.62637', ('状态0', '10595', '1667'), 'na na']
['五洲大酒店-郑州市体育馆', '五洲大酒店', '郑州市体育馆', '34.80343,113.64716', '34.76295,113.67994', ('状态0', '7170', '1621'), 'na na']
['五洲大酒店-郑州市体育场', '五洲大酒店', '郑州市体育场', '34.80343,113.64716', '34.76295,113.67994', ('状态0', '7170', '1621'), 'na na']
['五洲大酒店-华北水利水电大学', '五洲大酒店', '华北水利水电大学', '34.80343,113.64716', '34.77593,113.76580', ('状态0', '19657', '1975'), 'na na']
['五洲大酒店-北龙湖', '五洲大酒店', '北龙湖', '34.80343,113.64716', '34.81829,113.74043', ('状态0', '11649', '1474'), 'na na']
['五洲大酒店-郑州奥体中心体育馆', '五洲大酒店', '郑州奥体中心体育馆', '34.80343,113.64716', '34.73476,113.54065', ('状态0', '22102', '2087'), 'na na']
