设备序列号 起点 终点 状态码  步行路程(米) 步行耗时(秒)
汇艺万怡酒店-郑州市体育场', '34.76031,113.77730', '34.76295,113.67994', 状态0', '11500', '1996'], 'na na']
汇艺万怡酒店-华北水利水电大学', '34.76031,113.77730', '34.77593,113.76580', 状态0', '2708', '520'], 'na na']
汇艺万怡酒店-北龙湖', '34.76031,113.77730', '34.81829,113.74043', 状态0', '9739', '1470'], 'na na']
汇艺万怡酒店-郑州奥体中心体育馆', '34.76031,113.77730', '34.73476,113.54065', 状态0', '27196', '2055'], 'na na']
五洲大酒店-河南工业大学', '34.80343,113.64716', '34.83330,113.55796', 状态0', '11597', '1672'], 'na na']
五洲大酒店-郑州大学', '34.80343,113.64716', '34.81414,113.54220', 状态0', '11764', '1604'], 'na na']
五洲大酒店-郑州工程技术学院', '34.80343,113.64716', '34.86633,113.65609', 状态0', '11471', '1783'], 'na na']
五洲大酒店-郑州师范学院', '34.80343,113.64716', '34.86471,113.62637', 状态0', '9713', '1480'], 'na na']
五洲大酒店-郑州市体育馆', '34.80343,113.64716', '34.76295,113.67994', 状态0', '7108', '1427'], 'na na']
五洲大酒店-郑州市体育场', '34.80343,113.64716', '34.76295,113.67994', 状态0', '7108', '1427'], 'na na']
五洲大酒店-华北水利水电大学', '34.80343,113.64716', '34.77593,113.76580', 状态0', '17713', '1965'], 'na na']
五洲大酒店-北龙湖', '34.80343,113.64716', '34.81829,113.74043', 状态0', '11649', '1343'], 'na na']
五洲大酒店-郑州奥体中心体育馆', '34.80343,113.64716', '34.73476,113.54065', 状态0', '22102', '1883'], 'na na']
河南饭店-河南工业大学', '34.77130,113.68791', '34.83330,113.55796', 状态0', '19154', '2264'], 'na na']
河南饭店-郑州大学', '34.77130,113.68791', '34.81414,113.54220', 状态0', '20383', '2344'], 'na na']
河南饭店-郑州工程技术学院', '34.77130,113.68791', '34.86633,113.65609', 状态0', '13872', '2218'], 'na na']
河南饭店-郑州师范学院', '34.77130,113.68791', '34.86471,113.62637', 状态0', '17270', '2102'], 'na na']
河南饭店-郑州市体育馆', '34.77130,113.68791', '34.76295,113.67994', 状态0', '2041', '510'], 'na na']
河南饭店-郑州市体育场', '34.77130,113.68791', '34.76295,113.67994', 状态0', '2041', '510'], 'na na']
河南饭店-华北水利水电大学', '34.77130,113.68791', '34.77593,113.76580', 状态0', '9037', '1391'], 'na na']
河南饭店-北龙湖', '34.77130,113.68791', '34.81829,113.74043', 状态0', '11631', '1570'], 'na na']
河南饭店-郑州奥体中心体育馆', '34.77130,113.68791', '34.73476,113.54065', 状态0', '21368', '1643'], 'na na']
大河锦江饭店-河南工业大学', '34.77858,113.68823', '34.83330,113.55796', 状态0', '18754', '2279'], 'na na']
大河锦江饭店-郑州大学', '34.77858,113.68823', '34.81414,113.54220', 状态0', '18921', '2228'], 'na na']
大河锦江饭店-郑州工程技术学院', '34.77858,113.68823', '34.86633,113.65609', 状态0', '14088', '2161'], 'na na']
大河锦江饭店-郑州师范学院', '34.77858,113.68823', '34.86471,113.62637', 状态0', '15818', '2260'], 'na na']
大河锦江饭店-郑州市体育馆', '34.77858,113.68823', '34.76295,113.67994', 状态0', '2759', '499'], 'na na']
大河锦江饭店-郑州市体育场', '34.77858,113.68823', '34.76295,113.67994', 状态0', '2759', '499'], 'na na']
大河锦江饭店-华北水利水电大学', '34.77858,113.68823', '34.77593,113.76580', 状态0', '9785', '1363'], 'na na']
大河锦江饭店-北龙湖', '34.77858,113.68823', '34.81829,113.74043', 状态0', '11491', '1418'], 'na na']
大河锦江饭店-郑州奥体中心体育馆', '34.77858,113.68823', '34.73476,113.54065', 状态0', '22243', '1701'], 'na na']
易元深航国际酒店-河南工业大学', '34.75241,113.78105', '34.83330,113.55796', 状态0', '28855', '2925'], 'na na']
易元深航国际酒店-郑州大学', '34.75241,113.78105', '34.81414,113.54220', 状态0', '30572', '2533'], 'na na']
易元深航国际酒店-郑州工程技术学院', '34.75241,113.78105', '34.86633,113.65609', 状态0', '25465', '2567'], 'na na']
易元深航国际酒店-郑州师范学院', '34.75241,113.78105', '34.86471,113.62637', 状态0', '26173', '3091'], 'na na']
易元深航国际酒店-郑州市体育馆', '34.75241,113.78105', '34.76295,113.67994', 状态0', '11430', '2199'], 'na na']
易元深航国际酒店-郑州市体育场', '34.75241,113.78105', '34.76295,113.67994', 状态0', '11430', '2199'], 'na na']
易元深航国际酒店-华北水利水电大学', '34.75241,113.78105', '34.77593,113.76580', 状态0', '4131', '831'], 'na na']
易元深航国际酒店-北龙湖', '34.75241,113.78105', '34.81829,113.74043', 状态0', '13911', '1418'], 'na na']
易元深航国际酒店-郑州奥体中心体育馆', '34.75241,113.78105', '34.73476,113.54065', 状态0', '27595', '2104'], 'na na']
